book_id,original_title,isbn13,authors,original_publication_year
1,The Hunger Games,9780439023480.0,Suzanne Collins,2008.0
2,Harry Potter and the Philosopher's Stone,9780439554930.0,"J.K. Rowling, Mary GrandPré",1997.0
3,Twilight,9780316015840.0,Stephenie Meyer,2005.0
4,To Kill a Mockingbird,9780061120080.0,Harper Lee,1960.0
5,The Great Gatsby,9780743273560.0,F. Scott Fitzgerald,1925.0
6,The Fault in Our Stars,9780525478810.0,John Green,2012.0
7,The Hobbit or There and Back Again,9780618260300.0,J.R.R. Tolkien,1937.0
8,The Catcher in the Rye,9780316769170.0,J.D. Salinger,1951.0
9,Angels & Demons ,9781416524790.0,Dan Brown,2000.0
10,Pride and Prejudice,9780679783270.0,Jane Austen,1813.0
11,The Kite Runner ,9781594480000.0,Khaled Hosseini,2003.0
12,Divergent,9780062024040.0,Veronica Roth,2011.0
13,Nineteen Eighty-Four,9780451524940.0,"George Orwell, Erich Fromm, Celâl Üster",1949.0
14,Animal Farm: A Fairy Story,9780452284240.0,George Orwell,1945.0
15,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,9780553296980.0,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0
16,Män som hatar kvinnor,9780307269750.0,"Stieg Larsson, Reg Keeland",2005.0
17,Catching Fire,9780439023500.0,Suzanne Collins,2009.0
18,Harry Potter and the Prisoner of Azkaban,9780439655480.0,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0
19, The Fellowship of the Ring,9780618346260.0,J.R.R. Tolkien,1954.0
20,Mockingjay,9780439023510.0,Suzanne Collins,2010.0
21,Harry Potter and the Order of the Phoenix,9780439358070.0,"J.K. Rowling, Mary GrandPré",2003.0
22,The Lovely Bones,9780316166680.0,Alice Sebold,2002.0
23,Harry Potter and the Chamber of Secrets,9780439064870.0,"J.K. Rowling, Mary GrandPré",1998.0
24,Harry Potter and the Goblet of Fire,9780439139600.0,"J.K. Rowling, Mary GrandPré",2000.0
25,Harry Potter and the Deathly Hallows,9780545010220.0,"J.K. Rowling, Mary GrandPré",2007.0
26,The Da Vinci Code,9780307277670.0,Dan Brown,2003.0
27,Harry Potter and the Half-Blood Prince,9780439785970.0,"J.K. Rowling, Mary GrandPré",2005.0
28,Lord of the Flies ,9780140283330.0,William Golding,1954.0
29,An Excellent conceited Tragedie of Romeo and Juliet,9780743477120.0,"William Shakespeare, Robert           Jackson",1595.0
30,Gone Girl,9780297859380.0,Gillian Flynn,2012.0
31,The Help,9780399155340.0,Kathryn Stockett,2009.0
32,Of Mice and Men ,9780142000670.0,John Steinbeck,1937.0
33,Memoirs of a Geisha,9780739326220.0,Arthur Golden,1997.0
34,Fifty Shades of Grey,9781612130290.0,E.L. James,2011.0
35,O Alquimista,9780061122420.0,"Paulo Coelho, Alan R. Clarke",1988.0
36,The Giver,9780385732550.0,Lois Lowry,1993.0
37,"The Lion, the Witch and the Wardrobe",9780060764890.0,C.S. Lewis,1950.0
38,The Time Traveler's Wife,9780965818670.0,Audrey Niffenegger,2003.0
39,A Game of Thrones,9780553588480.0,George R.R. Martin,1996.0
40,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",9780143038410.0,Elizabeth Gilbert,2006.0
41,The Lightning Thief,9780786838650.0,Rick Riordan,2005.0
42,Little Women,9780451529300.0,Louisa May Alcott,1868.0
43,Jane Eyre,9780142437210.0,"Charlotte Brontë, Michael Mason",1847.0
44,The Notebook,9780553816720.0,Nicholas Sparks,1996.0
45,Life of Pi,9780770430080.0,Yann Martel,2001.0
46,Water for Elephants,9781565125600.0,Sara Gruen,2006.0
47,The Book Thief,9780375831000.0,Markus Zusak,2005.0
48,Fahrenheit 451,9780307347980.0,Ray Bradbury,1953.0
49,"New Moon (Twilight, #2)",9780316160190.0,Stephenie Meyer,2006.0
50,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,9780060513030.0,Shel Silverstein,1974.0
51,City of Bones,9781416914280.0,Cassandra Clare,2007.0
52,Eclipse,9780316160210.0,Stephenie Meyer,2007.0
53,Eragon,9780375826700.0,Christopher Paolini,2002.0
54,The Hitchhiker's Guide to the Galaxy,9780345391800.0,Douglas Adams,1979.0
55,Brave New World,9780060929880.0,Aldous Huxley,1932.0
56,Breaking Dawn,9780316067930.0,Stephenie Meyer,2008.0
57,The Secret Life of Bees,9780142001740.0,Sue Monk Kidd,2001.0
58,The Adventures of Huckleberry Finn,9780142437180.0,"Mark Twain, John Seelye, Guy Cardwell",1884.0
59,Charlotte's Web,9780064410940.0,"E.B. White, Garth Williams, Rosemary Wells",1952.0
60,The Curious Incident of the Dog in the Night-Time,9781400032720.0,Mark Haddon,2003.0
61,The Girl on the Train,9781594633670.0,Paula Hawkins,2015.0
62,Northern Lights,9780679879240.0,Philip Pullman,1995.0
63,Wuthering Heights,9780393978900.0,"Emily Brontë, Richard J. Dunn",1847.0
64,My Sister's Keeper,9780743454540.0,Jodi Picoult,2004.0
65,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",9780385333850.0,Kurt Vonnegut Jr.,1969.0
